RISULTATI DELLE PARTITE DEL 2026-06-24;;;;;;;
ID Partita;Data e Ora;Fase;Squadra Casa;Punteggio Casa;Punteggio Ospite;Squadra Ospite;Stato
82cba383-0446-4817-8c63-422e96b8fc9e;24/06/2026, 18:55:00;Fase a Gironi;Gli Umili;4;1;Lo Dico FC;TERMINATA
076bb526-00e1-428a-9ccf-cd8c4a7e5e17;24/06/2026, 19:30:00;Fase a Gironi;FC Murta;2;3;Chainz;TERMINATA
ff7d2ffe-5765-408b-a135-7814615f2d36;24/06/2026, 20:05:00;Fase a Gironi;San Teodoro Ketzmaja;3;2;FC Ceres;TERMINATA
310a6c88-4769-4e00-a4b7-0e8030fbf3ea;24/06/2026, 20:40:00;Fase a Gironi;Aston Birra;2;5;Lo Dico FC;TERMINATA
73a10e0f-ef02-4c11-b211-2935b0358da4;24/06/2026, 21:15:00;Fase a Gironi;Gli Umili;3;5;UCG;TERMINATA
0cf09161-ecb4-41fc-ba83-99a0eb6f5e7d;24/06/2026, 21:50:00;Fase a Gironi;San Teodoro Ketzmaja;6;8;Chainz;TERMINATA
e85cf57a-c11e-4ac2-9cc7-5e664d989500;24/06/2026, 22:25:00;Fase a Gironi;FC Murta;1;1;Aston Birra;TERMINATA
98404968-e922-4af1-834f-b1ac50931758;24/06/2026, 23:00:00;Fase a Gironi;FC Ceres;2;9;UCG;TERMINATA


DETTAGLIO EVENTI DELLA GIORNATA (GOAL, CARTELLINI, CARTE KINGS LEAGUE);;;;;;;
ID Partita;Partita;Minuto;Tipo Evento;Squadra;Giocatore;Dettaglio
73a10e0f-ef02-4c11-b211-2935b0358da4;Gli Umili - UCG;12';ASSIST;Gli Umili;Elio Casanova;
73a10e0f-ef02-4c11-b211-2935b0358da4;Gli Umili - UCG;14';GOAL;UCG;Reverberi Tommaso;
73a10e0f-ef02-4c11-b211-2935b0358da4;Gli Umili - UCG;20';GOAL;Gli Umili;Paolo Gaglianò;
73a10e0f-ef02-4c11-b211-2935b0358da4;Gli Umili - UCG;26';GOAL;UCG;Lorenzo Ceresoli;
73a10e0f-ef02-4c11-b211-2935b0358da4;Gli Umili - UCG;26';CARTA;Gli Umili;Tommaso Verardo;penalty::success
73a10e0f-ef02-4c11-b211-2935b0358da4;Gli Umili - UCG;29';GOAL;UCG;Reverberi Tommaso;
73a10e0f-ef02-4c11-b211-2935b0358da4;Gli Umili - UCG;29';CARTA;UCG;Mattia Ninivaggi;penalty::success
0cf09161-ecb4-41fc-ba83-99a0eb6f5e7d;San Teodoro Ketzmaja - Chainz;2';GOAL;Chainz;Louis Dolcini;
0cf09161-ecb4-41fc-ba83-99a0eb6f5e7d;San Teodoro Ketzmaja - Chainz;3';GOAL;San Teodoro Ketzmaja;Davide Rossi;
0cf09161-ecb4-41fc-ba83-99a0eb6f5e7d;San Teodoro Ketzmaja - Chainz;3';GOAL;Chainz;Louis Dolcini;
0cf09161-ecb4-41fc-ba83-99a0eb6f5e7d;San Teodoro Ketzmaja - Chainz;5';GOAL;San Teodoro Ketzmaja;Matteo Fascetti;
0cf09161-ecb4-41fc-ba83-99a0eb6f5e7d;San Teodoro Ketzmaja - Chainz;7';GOAL;Chainz;Francesco Tassone;
0cf09161-ecb4-41fc-ba83-99a0eb6f5e7d;San Teodoro Ketzmaja - Chainz;11';GOAL;San Teodoro Ketzmaja;Davide Rossi;
0cf09161-ecb4-41fc-ba83-99a0eb6f5e7d;San Teodoro Ketzmaja - Chainz;15';GOAL;San Teodoro Ketzmaja;Andrea Gobbi;
0cf09161-ecb4-41fc-ba83-99a0eb6f5e7d;San Teodoro Ketzmaja - Chainz;21';CARTA;San Teodoro Ketzmaja;;goalx2
0cf09161-ecb4-41fc-ba83-99a0eb6f5e7d;San Teodoro Ketzmaja - Chainz;23';GOAL;Chainz;Louis Dolcini;
0cf09161-ecb4-41fc-ba83-99a0eb6f5e7d;San Teodoro Ketzmaja - Chainz;24';GOAL;San Teodoro Ketzmaja;Davide Rossi;
0cf09161-ecb4-41fc-ba83-99a0eb6f5e7d;San Teodoro Ketzmaja - Chainz;25';GOAL;San Teodoro Ketzmaja;Davide Rossi;
0cf09161-ecb4-41fc-ba83-99a0eb6f5e7d;San Teodoro Ketzmaja - Chainz;26';GOAL;Chainz;Roberto Bobbio;
0cf09161-ecb4-41fc-ba83-99a0eb6f5e7d;San Teodoro Ketzmaja - Chainz;28';GOAL;Chainz;Roberto Bobbio;
0cf09161-ecb4-41fc-ba83-99a0eb6f5e7d;San Teodoro Ketzmaja - Chainz;30';GOAL;Chainz;Roberto Bobbio;
e85cf57a-c11e-4ac2-9cc7-5e664d989500;FC Murta - Aston Birra;9';GOAL;FC Murta;Matteo Mazza;
e85cf57a-c11e-4ac2-9cc7-5e664d989500;FC Murta - Aston Birra;10';AMMONIZIONE;FC Murta;Danilo Lubello;
e85cf57a-c11e-4ac2-9cc7-5e664d989500;FC Murta - Aston Birra;14';AMMONIZIONE;FC Murta;Matteo Mazza;
e85cf57a-c11e-4ac2-9cc7-5e664d989500;FC Murta - Aston Birra;21';CARTA;Aston Birra;;suspension
e85cf57a-c11e-4ac2-9cc7-5e664d989500;FC Murta - Aston Birra;21';CARTA;FC Murta;;goalx2
e85cf57a-c11e-4ac2-9cc7-5e664d989500;FC Murta - Aston Birra;24';GOAL;Aston Birra;Giacomo Patrone;
98404968-e922-4af1-834f-b1ac50931758;FC Ceres - UCG;2';GOAL;UCG;Reverberi Tommaso;
98404968-e922-4af1-834f-b1ac50931758;FC Ceres - UCG;6';GOAL;UCG;Lorenzo Ceresoli;
98404968-e922-4af1-834f-b1ac50931758;FC Ceres - UCG;7';GOAL;UCG;Lorenzo Ceresoli;
98404968-e922-4af1-834f-b1ac50931758;FC Ceres - UCG;9';GOAL;FC Ceres;Samuele Del Fiore;
98404968-e922-4af1-834f-b1ac50931758;FC Ceres - UCG;11';GOAL;FC Ceres;Stefano Dellepiane;
98404968-e922-4af1-834f-b1ac50931758;FC Ceres - UCG;11';GOAL;UCG;Reverberi Tommaso;
98404968-e922-4af1-834f-b1ac50931758;FC Ceres - UCG;23';GOAL;UCG;Mattia Ninivaggi;
98404968-e922-4af1-834f-b1ac50931758;FC Ceres - UCG;24';CARTA;UCG;;goalx2
98404968-e922-4af1-834f-b1ac50931758;FC Ceres - UCG;24';GOAL;UCG;Reverberi Tommaso;
98404968-e922-4af1-834f-b1ac50931758;FC Ceres - UCG;30';GOAL;UCG;Reverberi Tommaso;
98404968-e922-4af1-834f-b1ac50931758;FC Ceres - UCG;30';GOAL;UCG;Mattia Ninivaggi;
