RISULTATI DELLE PARTITE DEL TUTTE;;;;;;;
ID Partita;Data e Ora;Fase;Squadra Casa;Punteggio Casa;Punteggio Ospite;Squadra Ospite;Stato
993ec7b5-3f94-4df7-aa98-5ceaaa73d87f;FC Murta - FC Pontos;21';CARTA;FC Murta;Luca Dianti;shootout::fail
993ec7b5-3f94-4df7-aa98-5ceaaa73d87f;FC Murta - FC Pontos;27';GOAL;FC Pontos;Mattia Fazio;
993ec7b5-3f94-4df7-aa98-5ceaaa73d87f;FC Murta - FC Pontos;28';GOAL;FC Pontos;Matteo Decorato;
63fae8d0-75b5-4633-a370-66ac31549f09;FC Ceres - Gli Umili;1';GOAL;Gli Umili;Lorenzo Papiri;
63fae8d0-75b5-4633-a370-66ac31549f09;FC Ceres - Gli Umili;5';GOAL;Gli Umili;Paolo Gaglianò;
63fae8d0-75b5-4633-a370-66ac31549f09;FC Ceres - Gli Umili;6';GOAL;Gli Umili;Paolo Gaglianò;
63fae8d0-75b5-4633-a370-66ac31549f09;FC Ceres - Gli Umili;12';CARTA;FC Ceres;Samuele Del Fiore;shootout::fail
63fae8d0-75b5-4633-a370-66ac31549f09;FC Ceres - Gli Umili;17';GOAL;Gli Umili;Paolo Gaglianò;
63fae8d0-75b5-4633-a370-66ac31549f09;FC Ceres - Gli Umili;19';GOAL;FC Ceres;Samuele Del Fiore;
63fae8d0-75b5-4633-a370-66ac31549f09;FC Ceres - Gli Umili;24';GOAL;Gli Umili;Elio Casanova;
63fae8d0-75b5-4633-a370-66ac31549f09;FC Ceres - Gli Umili;26';GOAL;Gli Umili;Paolo Gaglianò;
63fae8d0-75b5-4633-a370-66ac31549f09;FC Ceres - Gli Umili;27';CARTA;Gli Umili;Simone Valle;penalty::success
63fae8d0-75b5-4633-a370-66ac31549f09;FC Ceres - Gli Umili;30';GOAL;FC Ceres;Marco Gagna;
ac94bfc1-76a1-41fc-ae98-6fd83c54d7cf;UCG - Gilly Boys;6';GOAL;UCG;Andrea Ortisi;
ac94bfc1-76a1-41fc-ae98-6fd83c54d7cf;UCG - Gilly Boys;7';GOAL;UCG;Andrea Ortisi;
ac94bfc1-76a1-41fc-ae98-6fd83c54d7cf;UCG - Gilly Boys;7';GOAL;UCG;Reverberi Tommaso;
ac94bfc1-76a1-41fc-ae98-6fd83c54d7cf;UCG - Gilly Boys;9';GOAL;UCG;Bevegni Francesco;
ac94bfc1-76a1-41fc-ae98-6fd83c54d7cf;UCG - Gilly Boys;10';GOAL;Gilly Boys;Simone Cavicchioli;
