RISULTATI DELLE PARTITE DEL 2026-06-22;;;;;;;
ID Partita;Data e Ora;Fase;Squadra Casa;Punteggio Casa;Punteggio Ospite;Squadra Ospite;Stato
a1be1a6d-7427-4360-b063-d9e173bcbe17;22/06/2026, 19:30:00;Fase a Gironi;FC Pontos;3;2;Amatori Calcio Genova;TERMINATA
fba22a1c-cdf8-45bc-b6a8-db8d10c7a8af;22/06/2026, 20:05:00;Fase a Gironi;Gli Umili;3;3;Sezione 164;TERMINATA
9b5b7cae-70b9-4be2-84df-1884fb0308f9;22/06/2026, 20:40:00;Fase a Gironi;FC Ceres;1;2;FC Murta;TERMINATA
ab9aab97-0c76-46b7-b728-16e45dd82e63;22/06/2026, 21:15:00;Fase a Gironi;Sezione 164;10;3;Amatori Calcio Genova;TERMINATA
993ec7b5-3f94-4df7-aa98-5ceaaa73d87f;22/06/2026, 21:50:00;Fase a Gironi;FC Murta;0;5;FC Pontos;TERMINATA
63fae8d0-75b5-4633-a370-66ac31549f09;22/06/2026, 22:25:00;Fase a Gironi;FC Ceres;2;7;Gli Umili;TERMINATA


DETTAGLIO EVENTI DELLA GIORNATA (GOAL, CARTELLINI, CARTE KINGS LEAGUE);;;;;;;
ID Partita;Partita;Minuto;Tipo Evento;Squadra;Giocatore;Dettaglio
ab9aab97-0c76-46b7-b728-16e45dd82e63;Sezione 164 - Amatori Calcio Genova;23';CARTA;Amatori Calcio Genova;Giulio Torre;goalx2
ab9aab97-0c76-46b7-b728-16e45dd82e63;Sezione 164 - Amatori Calcio Genova;25';CARTA;Sezione 164;Ivan Grispo;starplayer
ab9aab97-0c76-46b7-b728-16e45dd82e63;Sezione 164 - Amatori Calcio Genova;28';GOL;Sezione 164;Gabriele Robotti;
ab9aab97-0c76-46b7-b728-16e45dd82e63;Sezione 164 - Amatori Calcio Genova;28';ASSIST;Sezione 164;Riccardo Mazzolini;
ab9aab97-0c76-46b7-b728-16e45dd82e63;Sezione 164 - Amatori Calcio Genova;30';GOL;Sezione 164;Gabriele Robotti;
fba22a1c-cdf8-45bc-b6a8-db8d10c7a8af;Gli Umili - Sezione 164;2';GOL;Sezione 164;Gabriele Robotti;
fba22a1c-cdf8-45bc-b6a8-db8d10c7a8af;Gli Umili - Sezione 164;3';GOL;Gli Umili;Lorenzo Papiri;
fba22a1c-cdf8-45bc-b6a8-db8d10c7a8af;Gli Umili - Sezione 164;4';GOL;Gli Umili;Elio Casanova;
fba22a1c-cdf8-45bc-b6a8-db8d10c7a8af;Gli Umili - Sezione 164;19';GOL;Sezione 164;Gabriele Robotti;
fba22a1c-cdf8-45bc-b6a8-db8d10c7a8af;Gli Umili - Sezione 164;20';CARTA;Gli Umili;Tommaso Verardo;penalty::success
fba22a1c-cdf8-45bc-b6a8-db8d10c7a8af;Gli Umili - Sezione 164;20';CARTA;Sezione 164;Gabriele Robotti;penalty::fail
fba22a1c-cdf8-45bc-b6a8-db8d10c7a8af;Gli Umili - Sezione 164;20';GOL;Sezione 164;Gabriele Robotti;
