RISULTATI DELLE PARTITE DEL 2026-06-23;;;;;;;
ID Partita;Data e Ora;Fase;Squadra Casa;Punteggio Casa;Punteggio Ospite;Squadra Ospite;Stato
ac94bfc1-76a1-41fc-ae98-6fd83c54d7cf;23/06/2026, 18:55:00;Fase a Gironi;UCG;4;7;Gilly Boys;TERMINATA
60f68aca-acb0-4a36-b6f8-b360d032df8a;Chainz - Taverna FC;5';GOAL;Taverna FC;Stefano Bottari;
60f68aca-acb0-4a36-b6f8-b360d032df8a;Chainz - Taverna FC;11';GOAL;Taverna FC;Davide Barabino;
60f68aca-acb0-4a36-b6f8-b360d032df8a;Chainz - Taverna FC;12';GOAL;Taverna FC;Davide Pasti;
60f68aca-acb0-4a36-b6f8-b360d032df8a;Chainz - Taverna FC;13';GOAL;Chainz;Francesco Fossati;
60f68aca-acb0-4a36-b6f8-b360d032df8a;Chainz - Taverna FC;18';GOAL;Taverna FC;Stefano Bottari;
60f68aca-acb0-4a36-b6f8-b360d032df8a;Chainz - Taverna FC;21';GOAL;Taverna FC;Alessandro Mosca;
60f68aca-acb0-4a36-b6f8-b360d032df8a;Chainz - Taverna FC;21';CARTA;Chainz;Francesco Tassone;shootout::success
60f68aca-acb0-4a36-b6f8-b360d032df8a;Chainz - Taverna FC;22';GOAL;Taverna FC;Alessandro Mosca;
60f68aca-acb0-4a36-b6f8-b360d032df8a;Chainz - Taverna FC;26';CARTA;Chainz;Louis Dolcini;suspension
60f68aca-acb0-4a36-b6f8-b360d032df8a;Chainz - Taverna FC;29';GOAL;Taverna FC;Davide Pasti;
f84c5496-eba0-4268-96f6-6d36184968f9;Aston Birra - UCG;8';GOAL;UCG;Andrea Ortisi;
f84c5496-eba0-4268-96f6-6d36184968f9;Aston Birra - UCG;9';GOAL;Aston Birra;Endi Pasho;
f84c5496-eba0-4268-96f6-6d36184968f9;Aston Birra - UCG;10';GOAL;Aston Birra;Giacomo Patrone;
f84c5496-eba0-4268-96f6-6d36184968f9;Aston Birra - UCG;11';GOAL;UCG;Bevegni Francesco;
8cae47e7-c8cd-4b9c-8c72-e372c91c073c;San Teodoro Ketzmaja - PonteX Pirates;15';GOAL;PonteX Pirates;Edoardo Demasi;
8cae47e7-c8cd-4b9c-8c72-e372c91c073c;San Teodoro Ketzmaja - PonteX Pirates;23';GOAL;San Teodoro Ketzmaja;Davide Tamagnini;
8cae47e7-c8cd-4b9c-8c72-e372c91c073c;San Teodoro Ketzmaja - PonteX Pirates;26';GOAL;San Teodoro Ketzmaja;Andrea Gobbi;
649b006b-a92f-4736-8d85-c8f90540c9dd;Lo Dico FC - Chainz;7';GOAL;Chainz;Francesco Tassone;
649b006b-a92f-4736-8d85-c8f90540c9dd;Lo Dico FC - Chainz;7';ASSIST;Chainz;Louis Dolcini;
649b006b-a92f-4736-8d85-c8f90540c9dd;Lo Dico FC - Chainz;13';GOAL;Chainz;Louis Dolcini;
649b006b-a92f-4736-8d85-c8f90540c9dd;Lo Dico FC - Chainz;22';GOAL;Lo Dico FC;Mattia Lamari;
649b006b-a92f-4736-8d85-c8f90540c9dd;Lo Dico FC - Chainz;24';GOAL;Chainz;Alessio Carena;
649b006b-a92f-4736-8d85-c8f90540c9dd;Lo Dico FC - Chainz;24';GOAL;Lo Dico FC;Christian Ravenna;
649b006b-a92f-4736-8d85-c8f90540c9dd;Lo Dico FC - Chainz;25';CARTA;Lo Dico FC;Mohamed Niang;suspension
649b006b-a92f-4736-8d85-c8f90540c9dd;Lo Dico FC - Chainz;25';CARTA;Chainz;Louis Dolcini;suspension
649b006b-a92f-4736-8d85-c8f90540c9dd;Lo Dico FC - Chainz;26';GOAL;Lo Dico FC;Christian Ravenna;
